dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,17.153298,11.384779,0.003530,0.141181,2.823613,56.472265,3.176414
0.050000,17.146991,11.384546,0.009841,0.126237,-0.298878,-62.449824,3.179239
0.050000,17.122990,11.383565,0.033863,0.480424,7.083738,147.652319,3.185648
0.050000,17.080565,11.381450,0.076340,0.849547,7.382469,5.974629,3.197230
0.050000,17.014921,11.377186,0.142122,1.315641,9.321873,38.788078,3.215813
0.050000,16.921830,11.368974,0.235575,1.869056,11.068313,34.928792,3.243626
0.050000,16.797990,11.353828,0.360338,2.495258,12.524025,29.114251,3.283494
0.050000,16.641481,11.327090,0.519114,3.175523,13.605299,21.625479,3.339019
0.050000,16.454504,11.282512,0.711332,3.844364,13.376817,-4.569642,3.413584
0.050000,16.242666,11.212517,0.934434,4.462034,12.353405,-20.468249,3.509291
0.050000,16.011018,11.107503,1.188773,5.086795,12.495218,2.836259,3.625833
0.050000,15.762172,10.954595,1.480844,5.841413,15.092357,51.942776,3.757828
0.050000,15.498020,10.738362,1.822213,6.827385,19.719457,92.541997,3.892800
0.050000,15.222232,10.445327,2.224617,8.048065,24.413587,93.882602,4.015241
0.050000,14.939888,10.069536,2.694656,9.400792,27.054548,52.819233,4.113889
0.050000,14.654694,9.615022,3.231237,10.731613,26.616420,-8.762555,4.183824
0.050000,14.365498,9.092637,3.828330,11.941861,24.204954,-48.229332,4.224184
0.050000,14.065029,8.515805,4.478727,13.007943,21.321642,-57.666242,4.235065
0.050000,13.748639,7.914086,5.158557,13.596602,11.773191,-190.969011,4.224467
0.050000,13.523617,7.424999,5.696926,10.767371,-56.584625,-1367.156333,4.337449
0.050000,13.353695,6.914049,6.235390,10.769278,0.038128,1132.455069,4.443340
0.050000,13.234997,6.387448,6.775202,10.796255,0.539557,10.028575,4.535280
0.050000,13.160659,5.854033,7.313773,10.771408,-0.496951,-20.730151,4.609577
0.050000,13.121718,5.324484,7.844751,10.619576,-3.036640,-50.793791,4.665633
0.050000,13.108364,4.810093,8.359315,10.291278,-6.565955,-70.586298,4.704893
0.050000,13.111248,4.321992,8.847426,9.762205,-10.581465,-80.310195,4.729811
0.050000,13.122462,3.870960,9.298596,9.023413,-14.775829,-83.887279,4.743212
0.050000,13.136177,3.465060,9.704729,8.122645,-18.015359,-64.790605,4.748013
0.050000,13.148832,3.108496,10.061517,7.135762,-19.737672,-34.446267,4.746916
0.050000,13.158721,2.804005,10.366169,6.093041,-20.854426,-22.335061,4.742229
0.050000,13.165439,2.553914,10.616350,5.003617,-21.788478,-18.681040,4.735887
0.050000,13.169436,2.357546,10.812758,3.928176,-21.508808,5.593387,4.729371
0.050000,13.171525,2.210018,10.960301,2.950859,-19.546336,39.249434,4.723603
0.050000,13.172467,2.104838,11.065486,2.103689,-16.943410,52.058527,4.719039
0.050000,13.172819,2.035109,11.135215,1.394591,-14.181954,55.229124,4.715808
0.050000,13.172920,1.993654,11.176670,0.829093,-11.309974,57.439605,4.713810
0.050000,13.172939,1.973118,11.197206,0.410720,-8.367458,58.850312,4.712799
0.050000,13.172940,1.966046,11.204278,0.141439,-5.385623,59.636696,4.712448
0.050000,13.172940,1.964941,11.205384,0.022117,-2.386437,59.983717,4.712393
0.050000,13.172940,1.964941,11.205384,0.000000,-0.442333,38.882091,4.712393
