dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,17.069163,13.799981,0.003530,0.141181,2.823613,56.472265,3.176414
0.050000,17.056034,13.799500,0.016668,0.262769,2.431765,-7.836970,3.179239
0.050000,17.016557,13.797887,0.056178,0.790202,10.548665,162.338015,3.185648
0.050000,16.946177,13.794377,0.126645,1.409341,12.382785,36.682396,3.197230
0.050000,16.835720,13.787200,0.237335,2.213793,16.089037,74.125037,3.215813
0.050000,16.675677,13.773072,0.398000,3.213305,19.990242,78.024095,3.243626
0.050000,16.456211,13.746205,0.619105,4.422094,24.175764,83.710450,3.283494
0.050000,16.167460,13.696812,0.912050,5.858909,28.736316,91.211024,3.339019
0.050000,15.805267,13.610337,1.284423,7.447461,31.771030,60.694283,3.413584
0.050000,15.373951,13.467648,1.738729,9.086111,32.773003,20.039461,3.509291
0.050000,14.885974,13.246323,2.274552,10.716465,32.607085,-3.318348,3.625833
0.050000,14.365419,12.926740,2.885380,12.216549,30.001674,-52.108226,3.757828
0.050000,13.848592,12.504620,3.552684,13.346086,22.590734,-148.218795,3.892800
0.050000,13.369431,11.996909,4.250801,13.962339,12.325060,-205.313489,4.015241
0.050000,12.943283,11.431096,4.959141,14.166809,4.089412,-164.712968,4.113889
0.050000,12.567826,10.833734,5.664697,14.111116,-1.113871,-104.065642,4.183824
0.050000,12.231156,10.226154,6.359319,13.892440,-4.373517,-65.192936,4.224184
0.050000,11.918479,9.626031,7.036013,13.533880,-7.171197,-55.953601,4.235065
0.050000,11.613976,9.046999,7.690230,13.084335,-8.990895,-36.393952,4.224467
0.050000,11.274837,8.310022,8.501495,16.225300,62.819286,1436.203616,4.337449
0.050000,11.023970,7.556436,9.295740,15.884910,-6.807783,-1392.541383,4.443340
0.050000,10.856134,6.813228,10.057664,15.238467,-12.928862,-122.421576,4.535280
0.050000,10.756754,6.102059,10.775743,14.361594,-17.537464,-92.172036,4.609577
0.050000,10.707692,5.437437,11.442173,13.328594,-20.660012,-62.450967,4.665633
0.050000,10.691765,4.828208,12.051610,12.188741,-22.797060,-42.740954,4.704893
0.050000,10.694948,4.279892,12.599936,10.966517,-24.444479,-32.948377,4.729811
0.050000,10.706943,3.796484,13.083493,9.671137,-25.907587,-29.262165,4.743212
0.050000,10.721043,3.378986,13.501228,8.354710,-26.328545,-8.419156,4.748013
0.050000,10.733606,3.025073,13.855364,7.082718,-25.439831,17.774285,4.746916
0.050000,10.743130,2.731901,14.148691,5.866539,-24.323593,22.324750,4.742229
0.050000,10.749439,2.497132,14.383544,4.697067,-23.389433,18.683209,4.735887
0.050000,10.753117,2.316508,14.564206,3.613228,-21.676779,34.253079,4.729371
0.050000,10.755010,2.182919,14.697809,2.672061,-18.823348,57.068621,4.723603
0.050000,10.755854,2.088767,14.791964,1.883106,-15.779097,60.885016,4.719039
0.050000,10.756167,2.026846,14.853886,1.238437,-12.893370,57.714539,4.715808
0.050000,10.756256,1.990220,14.890513,0.732531,-10.118135,55.504696,4.713810
0.050000,10.756272,1.972127,14.908606,0.361859,-7.413442,54.093871,4.712799
0.050000,10.756274,1.965904,14.914828,0.124455,-4.748066,53.307516,4.712448
0.050000,10.756274,1.964931,14.915801,0.019454,-2.100032,52.960673,4.712393
0.050000,10.756274,1.964931,14.915801,0.000000,-0.389075,34.219152,4.712393
