dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,13.172403,2.012418,0.003527,0.141063,2.821262,56.425242,1.610049
0.050000,13.171929,2.024036,0.015155,0.232569,1.830124,-19.822764,1.612330
0.050000,13.170252,2.062025,0.053181,0.760511,10.558842,174.574356,1.617531
0.050000,13.166760,2.129826,0.121071,1.357816,11.946094,27.745042,1.627020
0.050000,13.159934,2.236480,0.227944,2.137447,15.592610,72.930317,1.642503
0.050000,13.146950,2.391654,0.383660,3.114322,19.537508,78.897969,1.666308
0.050000,13.122607,2.606068,0.599452,4.315836,24.030290,89.855639,1.701894
0.050000,13.077335,2.892026,0.888971,5.790385,29.490965,109.213490,1.754737
0.050000,12.994417,3.259217,1.265408,7.528739,34.767089,105.522488,1.832867
0.050000,12.845077,3.712678,1.742827,9.548385,40.392913,112.516479,1.948011
0.050000,12.580412,4.248005,2.340005,11.943567,47.903651,150.214767,2.115933
0.050000,12.135315,4.823298,3.067380,14.547489,52.078423,83.495442,2.345655
0.050000,11.489208,5.328035,3.887266,16.397730,37.004826,-301.471952,2.608802
0.050000,10.729040,5.660393,4.716916,16.592988,3.905164,-661.993237,2.841677
0.050000,9.956951,5.826254,5.506619,15.794065,-15.978453,-397.672330,3.008588
0.050000,9.211647,5.883233,6.254098,14.949570,-16.889899,-18.228931,3.113813
0.050000,8.496802,5.880162,6.968949,14.297030,-13.050802,76.781954,3.171402
0.050000,7.811194,5.851108,7.655172,13.724465,-11.451308,31.989868,3.190633
0.050000,7.001229,5.768069,8.469383,16.284207,51.194844,1252.923051,3.313694
0.050000,6.191846,5.570098,9.302625,16.664853,7.612910,-871.638697,3.445501
0.050000,5.455743,5.296575,10.087904,15.705572,-19.185614,-535.970466,3.544470
0.050000,4.796860,4.988663,10.815184,14.545611,-23.199211,-80.271941,3.608207
0.050000,4.207930,4.678638,11.480732,13.310949,-24.693252,-29.880816,3.639540
0.050000,3.680201,4.389175,12.082635,12.038061,-25.457747,-15.289918,3.642782
0.050000,3.207584,4.135281,12.619131,10.729928,-26.162666,-14.098372,3.622342
0.050000,2.787396,3.925607,13.088729,9.391950,-26.759554,-11.937754,3.582833
0.050000,2.419572,3.762987,13.490898,8.043383,-26.971347,-4.235857,3.529649
0.050000,2.103514,3.644391,13.828474,6.751520,-25.837258,22.681768,3.468877
0.050000,1.836600,3.562701,14.107609,5.582693,-23.376548,49.214213,3.406431
0.050000,1.615928,3.509643,14.334569,4.539210,-20.869656,50.137839,3.347493
0.050000,1.439175,3.477383,14.514242,3.593456,-18.915078,39.091551,3.296106
0.050000,1.302897,3.459036,14.651750,2.750158,-16.865954,40.982475,3.254427
0.050000,1.201790,3.449199,14.753334,2.031684,-14.369485,49.929394,3.222617
0.050000,1.130320,3.444214,14.824978,1.432873,-11.976230,47.865087,3.199795
0.050000,1.083218,3.441827,14.872141,0.943259,-9.792274,43.679128,3.184643
0.050000,1.055338,3.440752,14.900041,0.558014,-7.704909,41.747291,3.175643
0.050000,1.041585,3.440314,14.913802,0.275203,-5.656214,40.973916,3.171196
0.050000,1.036882,3.440178,14.918506,0.094081,-3.622433,40.675606,3.169675
0.050000,1.036160,3.440158,14.919229,0.014459,-1.592441,40.599853,3.169442
0.050000,1.036160,3.440158,14.919229,0.000000,-0.289183,26.065147,3.169442
