dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,17.111231,12.592380,0.003530,0.141181,2.823613,56.472265,3.176414
0.050000,17.101512,12.592023,0.017648,0.423542,5.647226,56.472265,3.179239
0.050000,17.069773,12.590726,0.049413,0.847084,8.470840,56.472265,3.185648
0.050000,17.013371,12.587914,0.105885,1.411807,11.294453,56.472265,3.197230
0.050000,16.925321,12.582193,0.194123,2.117710,14.118066,56.472265,3.215813
0.050000,16.798754,12.571023,0.321186,2.964794,16.941679,56.472265,3.243626
0.050000,16.627100,12.550016,0.494132,3.953059,19.765293,56.472265,3.283494
0.050000,16.404470,12.511951,0.720021,5.082504,22.588906,56.472265,3.339019
0.050000,16.129885,12.446424,1.002383,6.211949,22.588906,-0.000000,3.413584
0.050000,15.808308,12.340082,1.341216,7.341394,22.588906,0.000000,3.509291
0.050000,15.448496,12.176913,1.736522,8.470840,22.588906,0.000000,3.625833
0.050000,15.063796,11.940668,2.188300,9.600285,22.588906,0.000000,3.757828
0.050000,14.673306,11.621491,2.693021,10.588550,19.765293,-56.472265,3.892800
0.050000,14.295831,11.221118,3.243626,11.435634,16.941679,-56.472265,4.015241
0.050000,13.941585,10.750316,3.833055,12.141537,14.118066,-56.472265,4.113889
0.050000,13.611260,10.224378,4.454250,12.706260,11.294453,-56.472265,4.183824
0.050000,13.298327,9.659396,5.100151,13.129802,8.470840,-56.472265,4.224184
0.050000,12.991754,9.070918,5.763701,13.412163,5.647226,-56.472265,4.235065
0.050000,12.681307,8.480543,6.437838,13.553344,2.823613,-56.472265,4.224467
0.050000,12.399227,7.867511,7.113015,13.453734,-1.992192,-96.316103,4.337449
0.050000,12.188832,7.235243,7.779682,13.212944,-4.815805,-56.472265,4.443340
0.050000,12.045565,6.600338,8.430780,12.830973,-7.639418,-56.472265,4.535280
0.050000,11.958707,5.978046,9.059250,12.307821,-10.463032,-56.472265,4.609577
0.050000,11.914705,5.380961,9.658033,11.643489,-13.286645,-56.472265,4.665633
0.050000,11.900065,4.819151,10.220069,10.837976,-16.110258,-56.472265,4.704893
0.050000,11.903098,4.300942,10.738301,9.891283,-18.933871,-56.472265,4.729811
0.050000,11.914702,3.833722,11.205668,8.803408,-21.757485,-56.472265,4.743212
0.050000,11.928610,3.422023,11.617602,7.673963,-22.588906,-16.628427,4.748013
0.050000,11.941219,3.066785,11.973064,6.544518,-22.588906,0.000000,4.746916
0.050000,11.950926,2.767953,12.272054,5.415072,-22.588906,-0.000000,4.742229
0.050000,11.957439,2.525523,12.514572,4.285627,-22.588906,0.000000,4.735887
0.050000,11.961276,2.337027,12.703107,3.255791,-20.596714,39.843838,4.729371
0.050000,11.963267,2.196468,12.843680,2.367136,-17.773101,56.472265,4.723603
0.050000,11.964161,2.096802,12.943350,1.619662,-14.949488,56.472265,4.719039
0.050000,11.964493,2.030977,13.009176,1.013368,-12.125874,56.472265,4.715808
0.050000,11.964588,1.991937,13.048216,0.548255,-9.302261,56.472265,4.713810
0.050000,11.964606,1.972623,13.067531,0.224323,-6.478648,56.472265,4.712799
0.050000,11.964607,1.965975,13.074178,0.041571,-3.655035,56.472265,4.712448
0.050000,11.964607,1.964936,13.075218,0.000000,-0.831421,56.472265,4.712393
0.050000,11.964607,1.964936,13.075218,0.000000,0.000000,16.628427,4.712393
