dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.757597,1.917582,0.003527,0.141063,2.821262,56.425242,1.610049
0.050000,10.757347,1.923693,0.009642,0.122316,-0.374950,-63.924248,1.612330
0.050000,10.756224,1.949125,0.035099,0.509130,7.736282,162.224645,1.617531
0.050000,10.753912,1.994023,0.080057,0.899161,7.800630,1.286968,1.627020
0.050000,10.749478,2.063338,0.149513,1.389119,9.799163,39.970648,1.642503
0.050000,10.741298,2.161184,0.247700,1.963749,11.492586,33.868456,1.666308
0.050000,10.726678,2.290155,0.377498,2.595947,12.643967,23.027623,1.701894
0.050000,10.701436,2.450005,0.539328,3.236605,12.813165,3.383969,1.754737
0.050000,10.660266,2.633104,0.726999,3.753423,10.336349,-49.536322,1.832867
0.050000,10.598317,2.822540,0.926307,3.986167,4.654897,-113.629048,1.948011
0.050000,10.514026,2.994878,1.118154,3.836941,-2.984532,-152.788581,2.115933
0.050000,10.408559,3.132561,1.291589,3.468699,-7.364841,-87.606174,2.345655
0.050000,10.261689,3.246335,1.477373,3.715662,4.939272,246.082258,2.608802
0.050000,10.015060,3.351603,1.745528,5.363105,32.948859,560.191749,2.841677
0.050000,9.636470,3.430931,2.132340,7.736239,47.462682,290.276447,3.008588
0.050000,9.144521,3.467498,2.625646,9.866132,42.597844,-97.296754,3.113813
0.050000,8.568830,3.464569,3.201344,11.513952,32.956406,-192.828755,3.171402
0.050000,7.929661,3.437347,3.841093,12.794979,25.620535,-146.717423,3.190633
0.050000,7.415091,3.387103,4.358110,10.340346,-49.092656,-1494.263825,3.313694
0.050000,6.915038,3.264177,4.873051,10.298807,-0.830769,965.237744,3.445501
0.050000,6.403240,3.073395,5.419251,10.924017,12.504201,266.699397,3.544470
0.050000,5.884033,2.830346,5.992530,11.465566,10.830977,-33.464474,3.608207
0.050000,5.362185,2.555440,6.582359,11.796589,6.620450,-84.210540,3.639540
0.050000,4.841334,2.269730,7.176426,11.881346,1.695139,-98.506229,3.642782
0.050000,4.325157,1.992547,7.762318,11.717828,-3.270358,-99.309936,3.622342
0.050000,3.819460,1.740401,8.327390,11.301452,-8.327521,-101.143252,3.582833
0.050000,3.334013,1.526008,8.858072,10.613637,-13.756303,-108.575649,3.529649
0.050000,2.880406,1.356003,9.342491,9.688370,-18.505327,-94.980469,3.468877
0.050000,2.469171,1.230292,9.772511,8.600411,-21.759187,-65.077199,3.406431
0.050000,2.110013,1.144023,10.141884,7.387461,-24.258994,-49.996154,3.347493
0.050000,1.811100,1.089507,10.445728,6.076880,-26.211632,-39.052753,3.296106
0.050000,1.575001,1.057737,10.683955,4.764528,-26.247025,-0.707856,3.254427
0.050000,1.397386,1.040461,10.862409,3.569082,-23.908930,46.761890,3.222617
0.050000,1.270897,1.031639,10.989204,2.535910,-20.663449,64.909625,3.199795
0.050000,1.187224,1.027399,11.072985,1.675617,-17.205846,69.152057,3.184643
0.050000,1.137610,1.025486,11.122636,0.993011,-13.652124,71.074436,3.175643
0.050000,1.113117,1.024706,11.147142,0.490117,-10.057872,71.885042,3.171196
0.050000,1.104740,1.024464,11.155522,0.167602,-6.450305,72.151346,3.169675
0.050000,1.103453,1.024428,11.156810,0.025761,-2.836831,72.269474,3.169442
0.050000,1.103453,1.024428,11.156810,0.000000,-0.515211,46.432397,3.169442
