dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,11.965000,1.965000,0.003527,0.141063,2.821262,56.425242,1.610049
0.050000,11.964638,1.973865,0.017633,0.423189,5.642524,56.425242,1.612330
0.050000,11.963238,2.005575,0.049372,0.846379,8.463786,56.425242,1.617531
0.050000,11.960336,2.061925,0.105797,1.410631,11.285048,56.425242,1.627020
0.050000,11.954706,2.149909,0.193962,2.115947,14.106311,56.425242,1.642503
0.050000,11.944124,2.276419,0.320919,2.962325,16.927573,56.425242,1.666308
0.050000,11.924643,2.448112,0.493721,3.949767,19.748835,56.425242,1.701894
0.050000,11.889386,2.671015,0.719422,5.078272,22.570097,56.425242,1.754737
0.050000,11.827342,2.946161,1.001548,6.206777,22.570097,0.000000,1.832867
0.050000,11.721697,3.267609,1.340100,7.335281,22.570097,-0.000000,1.948011
0.050000,11.547219,3.621441,1.735076,8.463786,22.570097,0.000000,2.115933
0.050000,11.271937,3.977929,2.186478,9.592291,22.570097,-0.000000,2.345655
0.050000,10.875449,4.287185,2.690779,10.579733,19.748835,-56.425242,2.608802
0.050000,10.372050,4.505998,3.240925,11.426112,16.927573,-56.425242,2.841677
0.050000,9.796710,4.628593,3.829863,12.131427,14.106311,-56.425242,3.008588
0.050000,9.178084,4.675366,4.450541,12.695679,11.285048,-56.425242,3.113813
0.050000,8.532816,4.672365,5.095905,13.118869,8.463786,-56.425242,3.171402
0.050000,7.870427,4.644227,5.758901,13.400995,5.642524,-56.425242,3.190633
0.050000,7.208160,4.577586,6.432478,13.542058,2.821262,-56.425242,3.313694
0.050000,6.553442,4.417137,7.107059,13.441205,-2.017066,-96.766557,3.445501
0.050000,5.929492,4.184985,7.773072,13.199288,-4.838328,-56.425242,3.544470
0.050000,5.340446,3.909505,8.423461,12.816309,-7.659590,-56.425242,3.608207
0.050000,4.785058,3.617039,9.051176,12.292266,-10.480852,-56.425242,3.639540
0.050000,4.260768,3.329452,9.649162,11.627161,-13.302114,-56.425242,3.642782
0.050000,3.766371,3.063914,10.210365,10.820992,-16.123376,-56.425242,3.622342
0.050000,3.303428,2.833004,10.727734,9.873760,-18.944638,-56.425242,3.582833
0.050000,2.876793,2.644497,11.194215,8.785465,-21.765901,-56.425242,3.529649
0.050000,2.491960,2.500197,11.605275,7.656960,-22.570097,-16.083927,3.468877
0.050000,2.152885,2.396497,11.959911,6.528455,-22.570097,0.000000,3.406431
0.050000,1.862971,2.326833,12.258121,5.399950,-22.570097,-0.000000,3.347493
0.050000,1.625138,2.283445,12.499906,4.271446,-22.570097,0.000000,3.296106
0.050000,1.438949,2.258387,12.687787,3.243794,-20.553031,40.341315,3.254427
0.050000,1.299588,2.244830,12.827812,2.357205,-17.731769,56.425242,3.222617
0.050000,1.200609,2.237927,12.927034,1.611680,-14.910507,56.425242,3.199795
0.050000,1.135221,2.234613,12.992506,1.007218,-12.089245,56.425242,3.184643
0.050000,1.096474,2.233119,13.031282,0.543819,-9.267983,56.425242,3.175643
0.050000,1.077351,2.232510,13.050415,0.221483,-6.446721,56.425242,3.171196
0.050000,1.070811,2.232321,13.056957,0.040210,-3.625458,56.425242,3.169675
0.050000,1.069806,2.232293,13.057962,0.000000,-0.804196,56.425242,3.169442
0.050000,1.069806,2.232293,13.057962,0.000000,0.000000,16.083927,3.169442
