dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.213471,11.193982,0.003606,0.144231,2.884615,57.692308,0.000306
0.050000,5.223069,11.193980,0.013204,0.191963,0.954649,-38.599327,6.282724
0.050000,5.257605,11.193934,0.047740,0.690717,9.975077,180.408551,6.280999
0.050000,5.318993,11.193706,0.109128,1.227766,10.740982,15.318113,6.277941
0.050000,5.414887,11.192974,0.205025,1.917934,13.803357,61.247490,6.273180
0.050000,5.552916,11.191122,0.343067,2.760836,16.858042,61.093708,6.266365
0.050000,5.740666,11.187099,0.530860,3.755861,19.900500,60.849166,6.257170
0.050000,5.985645,11.179267,0.775964,4.902086,22.924505,60.480095,6.245305
0.050000,6.291417,11.165438,1.082048,6.121686,24.391987,29.349641,6.230719
0.050000,6.657575,11.143051,1.448890,7.336827,24.302832,-1.783097,6.213594
0.050000,7.083539,11.109180,1.876198,8.546172,24.186892,-2.318810,6.194171
0.050000,7.568526,11.060621,2.363610,9.748239,24.041338,-2.911080,6.172751
0.050000,8.111528,10.994017,2.910682,10.941437,23.863961,-3.547539,6.149700
0.050000,8.707574,10.906583,3.513106,12.048488,22.141014,-34.458929,6.125600
0.050000,9.347888,10.796715,4.162778,12.993428,18.898809,-64.844108,6.101190
0.050000,10.023804,10.663800,4.851639,13.777225,15.675944,-64.457291,6.077171
0.050000,10.726884,10.508280,5.571714,14.401500,12.485486,-63.809170,6.054178
0.050000,11.449011,10.331627,6.315134,14.868402,9.338044,-62.948834,6.032755
0.050000,12.182455,10.136245,7.074156,15.180439,6.240745,-61.945982,6.013343
0.050000,12.919896,9.925314,7.841171,15.340292,3.197067,-60.873568,5.996270
0.050000,13.654410,9.702611,8.608704,15.350656,0.207276,-59.795824,5.981754
0.050000,14.382908,9.471185,9.373077,15.287468,-1.263766,-29.420836,5.969855
0.050000,15.151575,9.200980,10.187854,16.295533,20.161300,428.501319,5.907826
0.050000,15.897182,8.882774,10.998523,16.213386,-1.642937,-436.084730,5.857546
0.050000,16.596936,8.555786,11.770906,15.447666,-15.314395,-273.429155,5.839013
0.050000,17.266079,8.238778,12.511343,14.808738,-12.778559,50.716702,5.846926
0.050000,17.910276,7.950458,13.217118,14.115498,-13.864814,-21.725096,5.883494
0.050000,18.522209,7.715702,13.872536,13.108353,-20.142883,-125.561382,5.959611
0.050000,19.070510,7.568441,14.440268,11.354642,-35.074232,-298.626973,6.100999
0.050000,19.481707,7.537019,14.852664,8.247928,-62.134269,-541.200732,0.074233
0.050000,19.691225,7.588442,15.068400,4.314724,-78.664094,-330.596514,0.474137
0.050000,19.838226,7.712064,15.260472,3.841443,-9.465623,1383.969417,0.868814
0.050000,20.009521,7.988082,15.585322,6.496998,53.111102,1251.534505,1.123042
0.050000,20.155432,8.369216,15.993431,8.162183,33.303702,-396.148003,1.271872
0.050000,20.260601,8.781561,16.418977,8.510918,6.974715,-526.579738,1.363609
0.050000,20.331661,9.182413,16.826079,8.142034,-7.377687,-287.048026,1.423888
0.050000,20.378115,9.551412,17.197990,7.438226,-14.076156,-133.969381,1.465573
0.050000,20.407603,9.878676,17.526580,6.571792,-17.328688,-65.050655,1.495385
0.050000,20.425650,10.158835,17.807320,5.614803,-19.139780,-36.221823,1.517045
0.050000,20.436183,10.388853,18.037579,4.605174,-20.192572,-21.055849,1.532747
0.050000,20.442022,10.569196,18.218017,3.608753,-19.928430,5.282837,1.543965
0.050000,20.445115,10.704467,18.353323,2.706136,-18.052343,37.521734,1.551829
0.050000,20.446684,10.800844,18.449713,1.927787,-15.566979,49.707282,1.557171
0.050000,20.447445,10.864772,18.513646,1.278663,-12.982472,51.690142,1.560602
0.050000,20.447795,10.902874,18.551749,0.762059,-10.332089,53.007672,1.562606
0.050000,20.447942,10.921871,18.570746,0.379950,-7.642175,53.798272,1.563594
0.050000,20.447988,10.928528,18.577404,0.133154,-4.935917,54.125154,1.563939
0.050000,20.447996,10.929616,18.578492,0.021755,-2.227983,54.158691,1.563995
0.050000,20.447996,10.929616,18.578492,0.000000,-0.435098,35.857694,1.563995
