dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.213841,9.985648,0.003606,0.144231,2.884615,57.692308,0.000306
0.050000,5.222512,9.985646,0.018029,0.432692,5.769231,57.692308,6.282724
0.050000,5.254964,9.985603,0.050481,0.865385,8.653846,57.692308,6.280999
0.050000,5.312656,9.985389,0.108173,1.442308,11.538462,57.692308,6.277941
0.050000,5.402797,9.984701,0.198317,2.163462,14.423077,57.692308,6.273180
0.050000,5.532593,9.982960,0.328125,3.028846,17.307692,57.692308,6.266365
0.050000,5.709234,9.979175,0.504808,4.038462,20.192308,57.692308,6.257170
0.050000,5.939884,9.971800,0.735577,5.192308,23.076923,57.692308,6.245305
0.050000,6.228049,9.958767,1.024038,6.346154,23.076923,-0.000000,6.230719
0.050000,6.573553,9.937643,1.370192,7.500000,23.076923,0.000000,6.213594
0.050000,6.976122,9.905630,1.774038,8.653846,23.076923,-0.000000,6.194171
0.050000,7.435355,9.859648,2.235577,9.807692,23.076923,0.000000,6.172751
0.050000,7.950712,9.796433,2.754808,10.961538,23.076923,-0.000000,6.149700
0.050000,8.517945,9.713222,3.328125,11.971154,20.192308,-57.692308,6.125600
0.050000,9.129188,9.608338,3.948317,12.836538,17.307692,-57.692308,6.101190
0.050000,9.776628,9.481017,4.608173,13.557692,14.423077,-57.692308,6.077171
0.050000,10.452580,9.331493,5.300481,14.134615,11.538462,-57.692308,6.054178
0.050000,11.149562,9.160987,6.018029,14.567308,8.653846,-57.692308,6.032755
0.050000,11.860338,8.971638,6.753606,14.855769,5.769231,-57.692308,6.013343
0.050000,12.577944,8.766376,7.500000,15.000000,2.884615,-57.692308,5.996270
0.050000,13.295672,8.548758,8.250000,15.000000,0.000000,-57.692308,5.981754
0.050000,14.010465,8.321683,9.000000,15.000000,0.000000,0.000000,5.969855
0.050000,14.708591,8.076776,9.750000,15.000000,0.000000,0.000000,5.907826
0.050000,15.398257,7.782254,10.500000,15.000000,0.000000,0.000000,5.857546
0.050000,16.077702,7.464701,11.250000,15.000000,0.000000,0.000000,5.839013
0.050000,16.755495,7.143619,12.000000,15.000000,0.000000,0.000000,5.846926
0.050000,17.440073,6.837364,12.750000,15.000000,0.000000,0.000000,5.883494
0.050000,18.138010,6.570075,13.497548,14.901930,-1.961395,-39.227902,5.959611
0.050000,18.851584,6.380106,14.236587,14.659630,-4.846010,-57.692308,6.100999
0.050000,19.571323,6.332013,14.959905,14.273098,-7.730626,-57.692308,0.074233
0.050000,20.242915,6.513403,15.660291,13.742336,-10.615241,-57.692308,0.474137
0.050000,20.760865,6.931804,16.330533,13.067344,-13.499857,-57.692308,0.868814
0.050000,21.098739,7.464943,16.963420,12.248120,-16.384472,-57.692308,1.123042
0.050000,21.310180,8.013370,17.551740,11.284666,-19.269087,-57.692308,1.271872
0.050000,21.443092,8.532997,18.088281,10.176980,-22.153703,-57.692308,1.363609
0.050000,21.526978,9.005536,18.568284,9.023134,-23.076923,-18.464406,1.423888
0.050000,21.579765,9.424501,18.990594,7.869288,-23.076923,-0.000000,1.465573
0.050000,21.612502,9.787639,19.355212,6.715442,-23.076923,0.000000,1.495385
0.050000,21.632238,10.093917,19.662138,5.561596,-23.076923,-0.000000,1.517045
0.050000,21.643642,10.342887,19.911372,4.407750,-23.076923,0.000000,1.532747
0.050000,21.649920,10.536778,20.105365,3.351973,-21.115528,39.227902,1.543965
0.050000,21.653231,10.681550,20.250175,2.440428,-18.230913,57.692308,1.551829
0.050000,21.654905,10.784380,20.353014,1.673113,-15.346297,57.692308,1.557171
0.050000,21.655716,10.852454,20.421092,1.050029,-12.461682,57.692308,1.560602
0.050000,21.656088,10.892977,20.461622,0.571175,-9.577066,57.692308,1.562606
0.050000,21.656244,10.913168,20.481815,0.236553,-6.692451,57.692308,1.563594
0.050000,21.656293,10.920242,20.488883,0.046161,-3.807836,57.692308,1.563939
0.050000,21.656301,10.921398,20.490037,0.000000,-0.923220,57.692308,1.563995
0.050000,21.656301,10.921398,20.490037,0.000000,0.000000,18.464406,1.563995
