dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.214211,8.777315,0.003606,0.144231,2.884615,57.692308,0.000306
0.050000,5.221954,8.777313,0.011349,0.154872,0.212827,-53.435768,6.282724
0.050000,5.252322,8.777273,0.041718,0.607363,9.049811,176.739688,6.280999
0.050000,5.306318,8.777072,0.095714,1.079925,9.451251,8.028784,6.277941
0.050000,5.390707,8.776429,0.180105,1.687830,12.158101,54.137008,6.273180
0.050000,5.512270,8.774797,0.301678,2.431460,14.872600,54.289980,6.266365
0.050000,5.677803,8.771250,0.467249,3.311421,17.599211,54.532223,6.257170
0.050000,5.894123,8.764334,0.683681,4.328629,20.344164,54.899058,6.245305
0.050000,6.164680,8.752097,0.954514,5.416672,21.760869,28.334093,6.230719
0.050000,6.489532,8.732234,1.279972,6.509158,21.849717,1.776968,6.213594
0.050000,6.868706,8.702081,1.660343,7.607418,21.965196,2.309588,6.194171
0.050000,7.302185,8.658676,2.095991,8.712946,22.110559,2.907259,6.172751
0.050000,7.789896,8.598849,2.587357,9.827335,22.287769,3.544181,6.149700
0.050000,8.328316,8.519861,3.131540,10.883649,21.126286,-23.229659,6.125600
0.050000,8.910489,8.419961,3.722222,11.813648,18.599975,-50.526218,6.101190
0.050000,9.529452,8.298235,4.353041,12.616371,16.054461,-50.910273,6.077171
0.050000,10.178276,8.154707,5.017550,13.290197,13.476536,-51.558502,6.054178
0.050000,10.850112,7.990346,5.709199,13.832972,10.855492,-52.420875,6.032755
0.050000,11.538221,7.807031,6.421308,14.242176,8.184077,-53.428299,6.013343
0.050000,12.235992,7.607437,7.147064,14.515114,5.458769,-54.506158,5.996270
0.050000,12.936933,7.394906,7.879518,14.649080,2.679311,-55.589166,5.981754
0.050000,13.638023,7.172180,8.615135,14.712355,1.265503,-28.276155,5.969855
0.050000,14.265608,6.952572,9.280034,13.297977,-28.287562,-591.061303,5.907826
0.050000,14.899332,6.681735,9.969207,13.783464,9.709734,759.945926,5.857546
0.050000,15.558468,6.373617,10.696804,14.551931,15.369346,113.192233,5.839013
0.050000,16.244911,6.048460,11.456363,15.191189,12.785154,-51.683842,5.846926
0.050000,16.969870,5.724270,12.250507,15.882874,13.833712,20.971171,5.883494
0.050000,17.753812,5.424448,13.089827,16.786407,18.070650,84.738758,5.959611
0.050000,18.632658,5.191771,13.998953,18.182520,27.922271,197.032417,6.100999
0.050000,19.660938,5.127007,15.029271,20.606344,48.476467,411.083921,0.074233
0.050000,20.794604,5.438365,16.204916,23.512905,58.131233,193.095315,0.474137
0.050000,21.683504,6.151543,17.344551,22.792694,-14.404229,-1450.709240,0.868814
0.050000,22.187956,6.941804,18.282092,18.750828,-80.837322,-1328.661861,1.123042
0.050000,22.464928,7.657525,19.049536,15.348871,-68.039143,255.963580,1.271872
0.050000,22.625583,8.284432,19.696701,12.943307,-48.111268,398.557491,1.363609
0.050000,22.722296,8.828660,20.249455,11.055080,-37.764548,206.934419,1.423888
0.050000,22.781415,9.297590,20.722098,9.452854,-32.044517,114.400611,1.465573
0.050000,22.817401,9.696603,21.122730,8.012647,-28.804146,64.807417,1.495385
0.050000,22.838826,10.028999,21.455816,6.661714,-27.018654,35.709846,1.517045
0.050000,22.851100,10.296922,21.724019,5.364072,-25.952849,21.316087,1.532747
0.050000,22.857819,10.504361,21.931567,4.150957,-24.262284,33.811303,1.543965
0.050000,22.861347,10.658632,22.085879,3.086230,-21.294541,59.354858,1.551829
0.050000,22.863127,10.767916,22.195177,2.185970,-18.005208,65.786671,1.557171
0.050000,22.863986,10.840136,22.267402,1.444504,-14.829312,63.517909,1.560602
0.050000,22.864381,10.883081,22.310349,0.858933,-11.711422,62.357814,1.562606
0.050000,22.864546,10.904466,22.331735,0.427716,-8.624340,61.741628,1.563594
0.050000,22.864598,10.911957,22.339225,0.149811,-5.558106,61.324687,1.563939
0.050000,22.864607,10.913180,22.340449,0.024472,-2.506773,61.026659,1.563995
0.050000,22.864607,10.913180,22.340449,0.000000,-0.489445,40.346554,1.563995
