dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.213841,17.337968,0.003606,0.144231,2.884615,57.692308,6.283006
0.050000,5.222625,17.337969,0.018029,0.432692,5.769231,57.692308,0.000280
0.050000,5.255077,17.337995,0.050481,0.865385,8.653846,57.692308,0.001315
0.050000,5.312769,17.338124,0.108173,1.442308,11.538462,57.692308,0.003157
0.050000,5.402912,17.338538,0.198317,2.163462,14.423077,57.692308,0.006040
0.050000,5.532716,17.339593,0.328125,3.028846,17.307692,57.692308,0.010205
0.050000,5.709383,17.341898,0.504808,4.038462,20.192308,57.692308,0.015897
0.050000,5.940107,17.346428,0.735577,5.192308,23.076923,57.692308,0.023370
0.050000,6.228454,17.354523,1.024038,6.346154,23.076923,-0.000000,0.032774
0.050000,6.574350,17.367830,1.370192,7.500000,23.076923,0.000000,0.044146
0.050000,6.977672,17.388347,1.774038,8.653846,23.076923,-0.000000,0.057530
0.050000,7.438224,17.418436,2.235577,9.807692,23.076923,0.000000,0.072973
0.050000,7.955715,17.460826,2.754808,10.961538,23.076923,-0.000000,0.090522
0.050000,8.526142,17.518229,3.328125,11.971154,20.192308,-57.692308,0.110099
0.050000,9.141805,17.592950,3.948317,12.836538,17.307692,-57.692308,0.131488
0.050000,9.794915,17.686958,4.608173,13.557692,14.423077,-57.692308,0.154458
0.050000,10.477621,17.801754,5.300481,14.134615,11.538462,-57.692308,0.178753
0.050000,11.182045,17.938262,6.018029,14.567308,8.653846,-57.692308,0.204101
0.050000,11.900328,18.096734,6.753606,14.855769,5.769231,-57.692308,0.230209
0.050000,12.624684,18.276675,7.500000,15.000000,2.884615,-57.692308,0.256772
0.050000,13.347466,18.476808,8.250000,15.000000,0.000000,-57.692308,0.283476
0.050000,14.064650,18.696155,9.000000,15.000000,0.000000,0.000000,0.310132
0.050000,14.758531,18.953079,9.750000,15.000000,0.000000,0.000000,0.411436
0.050000,15.433448,19.279813,10.500000,15.000000,0.000000,0.000000,0.482045
0.050000,16.091507,19.639555,11.250000,15.000000,0.000000,0.000000,0.513221
0.050000,16.743601,20.010060,12.000000,15.000000,0.000000,0.000000,0.515695
0.050000,17.399787,20.373226,12.750000,15.000000,0.000000,0.000000,0.490251
0.050000,18.070107,20.707893,13.499337,14.973489,-0.530224,-10.604489,0.428432
0.050000,18.762583,20.979798,14.243743,14.802747,-3.414840,-57.692308,0.306237
0.050000,19.478491,21.125244,14.976006,14.487774,-6.299455,-57.692308,0.067004
0.050000,20.179755,21.032716,15.688915,14.028570,-9.184071,-57.692308,5.919740
0.050000,20.737863,20.644424,16.375257,13.425136,-12.068686,-57.692308,5.449497
0.050000,21.093792,20.100171,17.027823,12.677471,-14.953301,-57.692308,5.160668
0.050000,21.310798,19.529063,17.639399,11.785575,-17.837917,-57.692308,5.003366
0.050000,21.445492,18.982237,18.202774,10.749449,-20.722532,-57.692308,4.910398
0.050000,21.529876,18.480739,18.711401,9.595603,-23.076923,-47.087818,4.850724
0.050000,21.582606,18.032930,19.162335,8.441756,-23.076923,-0.000000,4.810030
0.050000,21.615104,17.641044,19.555576,7.287910,-23.076923,0.000000,4.781088
0.050000,21.634529,17.306064,19.891126,6.134064,-23.076923,-0.000000,4.760028
0.050000,21.645584,17.028431,20.168983,4.980218,-23.076923,0.000000,4.744621
0.050000,21.651455,16.807685,20.389810,3.852883,-22.546699,10.604489,4.733482
0.050000,21.654329,16.639644,20.557877,2.869779,-19.662083,57.692308,4.725580
0.050000,21.655607,16.517133,20.680394,2.030905,-16.777468,57.692308,4.720105
0.050000,21.656103,16.432951,20.764573,1.336263,-13.892852,57.692308,4.716473
0.050000,21.656260,16.379902,20.817626,0.785851,-11.008237,57.692308,4.714236
0.050000,21.656296,16.350766,20.846764,0.379670,-8.123622,57.692308,4.713024
0.050000,21.656301,16.338326,20.859199,0.117720,-5.239006,57.692308,4.712510
0.050000,21.656301,16.335379,20.862142,0.000000,-2.354391,57.692308,4.712389
0.050000,21.656301,16.335379,20.862142,0.000000,0.000000,47.087818,4.712389
