dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.213624,16.129635,0.003606,0.144231,2.884615,57.692308,6.283006
0.050000,5.222963,16.129636,0.012945,0.186789,0.851165,-40.669014,0.000280
0.050000,5.256666,16.129663,0.046648,0.674046,9.745138,177.879461,0.001315
0.050000,5.316583,16.129797,0.106565,1.198357,10.486217,14.821581,0.003157
0.050000,5.410211,16.130227,0.200194,1.872572,13.484310,59.961861,0.006040
0.050000,5.545046,16.131322,0.335034,2.696800,16.484556,60.004926,0.010205
0.050000,5.728591,16.133717,0.518594,3.671200,19.487997,60.068826,0.015897
0.050000,5.968344,16.138424,0.758393,4.795986,22.495722,60.154499,0.023370
0.050000,6.268049,16.146838,1.058216,5.996462,24.009519,30.275933,0.032774
0.050000,6.627676,16.160674,1.418110,7.197866,24.028075,0.371112,0.044146
0.050000,7.047149,16.182013,1.838125,8.400312,24.048919,0.416896,0.057530
0.050000,7.526322,16.213319,2.318319,9.603876,24.071291,0.447437,0.072973
0.050000,8.064946,16.257440,2.858748,10.808578,24.094027,0.454714,0.090522
0.050000,8.658909,16.317212,3.455711,11.939254,22.613535,-29.609835,0.110099
0.050000,9.300229,16.395048,4.101736,12.920515,19.625214,-59.766414,0.131488
0.050000,9.980810,16.493010,4.789332,13.751906,16.627817,-59.947959,0.154458
0.050000,10.692466,16.612674,5.510979,14.432937,13.620627,-60.143789,0.178753
0.050000,11.426958,16.755010,6.259135,14.963128,10.603812,-60.336303,0.204101
0.050000,12.176046,16.920278,7.026237,15.342049,7.578430,-60.507632,0.230209
0.050000,12.931552,17.107957,7.804706,15.569367,4.546360,-60.641415,0.256772
0.050000,13.685430,17.316701,8.586950,15.644879,1.510233,-60.722522,0.283476
0.050000,14.433415,17.545468,9.369136,15.643727,-0.023040,-30.665461,0.310132
0.050000,15.241775,17.845584,10.231409,17.245468,32.034818,641.157159,0.411436
0.050000,15.993623,18.209171,11.066557,16.702951,-10.850345,-857.703266,0.482045
0.050000,16.684781,18.586894,11.854196,15.752771,-19.003594,-163.064983,0.513221
0.050000,17.339479,18.958870,12.607186,15.059811,-13.859210,102.887690,0.515695
0.050000,17.968727,19.307216,13.326421,14.384701,-13.502200,7.140191,0.490251
0.050000,18.572103,19.608771,14.000956,13.490705,-17.879905,-87.554103,0.428432
0.050000,19.126862,19.827682,14.597345,11.927779,-31.258535,-267.572590,0.306237
0.050000,19.559394,19.919622,15.039540,8.843901,-61.677553,-608.380362,0.067004
0.050000,19.750197,19.903314,15.231039,3.829975,-100.278522,-772.019389,5.919740
0.050000,19.843194,19.832243,15.348084,2.340903,-29.781443,1409.941591,5.449497
0.050000,20.004848,19.576461,15.650668,6.051671,74.215373,2079.936304,5.160668
0.050000,20.153259,19.182406,16.071743,8.421502,47.396612,-536.375203,5.003366
0.050000,20.260769,18.744536,16.522618,9.017509,11.920140,-709.529442,4.910398
0.050000,20.333086,18.314116,16.959071,8.729056,-5.769058,-353.783974,4.850724
0.050000,20.380028,17.915134,17.360805,8.034685,-13.887410,-162.367029,4.810030
0.050000,20.409621,17.558098,17.719066,7.165206,-17.389586,-70.043518,4.781088
0.050000,20.427567,17.248522,18.029162,6.201919,-19.265749,-37.523263,4.760028
0.050000,20.437878,16.989490,18.288398,5.184736,-20.343647,-21.557960,4.744621
0.050000,20.443390,16.782200,18.495762,4.147268,-20.749369,-8.114438,4.733482
0.050000,20.446101,16.623705,18.654280,3.170362,-19.538110,24.225170,4.725580
0.050000,20.447310,16.507810,18.770181,2.318026,-17.046730,49.827603,4.720105
0.050000,20.447780,16.428016,18.849976,1.595904,-14.442437,52.085860,4.716473
0.050000,20.447929,16.377670,18.900323,1.006936,-11.779358,53.261593,4.714236
0.050000,20.447963,16.349998,18.927995,0.553425,-9.070219,54.182771,4.713024
0.050000,20.447968,16.338179,18.939814,0.236384,-6.340834,54.587707,4.712510
0.050000,20.447968,16.335379,18.942614,0.056008,-3.607512,54.666443,4.712389
0.050000,20.447968,16.335379,18.942614,0.000000,-1.120159,49.747042,4.712389
